"日期","收市","開市","高","低","成交量","更改%"
"2020年10月9日","346.85","345.58","347.35","344.90","59.53M","0.89%"
"2020年10月8日","343.78","342.84","343.84","341.89","45.24M","0.89%"
"2020年10月7日","340.76","338.11","341.60","338.11","57.00M","1.74%"
"2020年10月6日","334.93","339.91","342.17","334.38","90.13M","-1.42%"
"2020年10月5日","339.76","336.27","339.94","336.17","45.71M","1.77%"
"2020年10月4日","333.84","333.84","333.84","333.84","-","0.00%"
"2020年10月3日","333.84","333.84","333.84","333.84","-","0.00%"
"2020年10月2日","333.84","331.25","335.90","331.20","89.43M","-0.95%"
"2020年10月1日","337.04","337.63","338.68","335.05","88.70M","0.64%"
"2020年9月30日","334.89","333.20","338.28","332.90","104.08M","0.76%"
"2020年9月29日","332.37","333.87","334.73","331.63","51.53M","-0.54%"
"2020年9月28日","334.19","333.38","334.89","332.17","64.58M","1.66%"
"2020年9月27日","328.73","328.73","328.73","328.73","-","0.00%"
"2020年9月26日","328.73","328.73","328.73","328.73","-","0.00%"
"2020年9月25日","328.73","322.63","329.56","321.68","71.07M","1.62%"
"2020年9月24日","323.50","321.08","326.75","319.82","76.68M","0.27%"
"2020年9月23日","322.64","330.86","331.16","322.10","93.11M","-2.32%"
"2020年9月22日","330.30","328.45","330.89","325.90","63.61M","1.02%"
"2020年9月21日","326.97","325.61","326.98","321.73","99.45M","-1.11%"
"2020年9月18日","330.65","335.37","335.49","327.97","105.88M","-1.55%"
"2020年9月17日","335.84","333.55","337.66","333.01","91.52M","-0.88%"
"2020年9月16日","338.82","341.66","343.03","338.59","82.21M","-0.40%"
"2020年9月15日","340.17","341.26","342.00","339.02","52.92M","0.51%"
"2020年9月14日","338.46","337.55","340.36","336.95","65.61M","1.32%"
"2020年9月13日","334.06","334.06","334.06","334.06","-","0.00%"
"2020年9月11日","334.06","335.82","336.97","331.00","84.68M","0.05%"
"2020年9月10日","333.89","341.74","342.51","332.92","90.57M","-1.74%"